chengyu,pinyin,english_definition,category,sub_category
雍容华贵,yōng róng huá guì,,描写人的成语 Idioms describing people,描写人的容貌或体态的成语
文质彬彬,wén zhì bīn bīn,refined in manner/gentle,描写人的成语 Idioms describing people,描写人的容貌或体态的成语
威风凛凛,wēi fēng lǐn lǐn,majestic/awe-inspiring presence/impressive power,描写人的成语 Idioms describing people,描写人的容貌或体态的成语
老态龙钟,lǎo tài lóng zhōng,doddering; senile,描写人的成语 Idioms describing people,描写人的容貌或体态的成语
虎背熊腰,hǔ bèi xióng yāo,back of a tiger and waist of a bear/tough and stocky build,描写人的成语 Idioms describing people,描写人的容貌或体态的成语
如花似玉,rú huā sì yù,"delicate as a flower, refined as a precious jade (idiom)/(of a woman) exquisite",描写人的成语 Idioms describing people,描写人的容貌或体态的成语
容光焕发,róng guāng huàn fā,face glowing (idiom); looking radiant/all smiles,描写人的成语 Idioms describing people,描写人的容貌或体态的成语
落落大方,luò luò dà fāng,"(of one's conduct, speech etc) natural and unrestrained",描写人的成语 Idioms describing people,描写人的容貌或体态的成语
骨瘦如柴,gǔ shòu rú chái,as thin as a match/emaciated (idiom),描写人的成语 Idioms describing people,描写人的容貌或体态的成语
大腹便便,dà fù pián pián,big-bellied (idiom)/paunchy,描写人的成语 Idioms describing people,描写人的容貌或体态的成语
面黄肌瘦,miàn huáng jī shòu,lit. face yellow and body emaciated (idiom)/fig. malnourished and sickly in appearance,描写人的成语 Idioms describing people,描写人的容貌或体态的成语
其貌不扬,qí mào bù yáng,(idiom) nothing special to look at/unprepossessing,描写人的成语 Idioms describing people,描写人的容貌或体态的成语
蓬头垢面,péng tóu gòu miàn,messy hair and dirty face/bad appearance,描写人的成语 Idioms describing people,描写人的容貌或体态的成语
"""弱不禁风",""" ruò bù jīn fēng",,描写人的成语 Idioms describing people,描写人的容貌或体态的成语
班门弄斧,bān mén nòng fǔ,to display one's slight skill before an expert (idiom),描写人的成语 Idioms describing people,描写骄傲的成语
孤芳自赏,gū fāng zì shǎng,lone flower admiring itself (idiom); narcissism/self-love,描写人的成语 Idioms describing people,描写骄傲的成语
居功自傲,jū gōng zì ào,satisfied with one's accomplishment and arrogant as a result (idiom); resting on one's laurels and despising others,描写人的成语 Idioms describing people,描写骄傲的成语
目中无人,mù zhōng wú rén,to consider everyone else beneath one (idiom); so arrogant that no-one else matters/condescending/to go about with one's nose in the air,描写人的成语 Idioms describing people,描写骄傲的成语
妄自尊大,wàng zì zūn dà,ridiculous self-importance (idiom); arrogance,描写人的成语 Idioms describing people,描写骄傲的成语
忘乎所以,wàng hū suǒ yǐ,to get carried away/to forget oneself,描写人的成语 Idioms describing people,描写骄傲的成语
惟我独尊,wéi wǒ dú zūn,,描写人的成语 Idioms describing people,描写骄傲的成语
自高自大,zì gāo zì dà,to think of oneself as terrific (idiom); arrogant,描写人的成语 Idioms describing people,描写骄傲的成语
自鸣得意,zì míng dé yì,to think highly of oneself,描写人的成语 Idioms describing people,描写骄傲的成语
自我陶醉,zì wǒ táo zuì,self-satisfied/self-imbued/narcissistic,描写人的成语 Idioms describing people,描写骄傲的成语
自命不凡,zì mìng bù fán,to think too much of oneself/self-important/arrogant,描写人的成语 Idioms describing people,描写骄傲的成语
目空一切,mù kōng yī qiè,the eye can see nothing worthwhile all around (idiom); arrogant/condescending/supercilious,描写人的成语 Idioms describing people,描写骄傲的成语
人山人海,rén shān rén hǎi,(idiom) multitude; vast crowd,描写人的成语 Idioms describing people,人多
人声喧哗,rén shēng xuān huá,,描写人的成语 Idioms describing people,人多
人声嘈杂,rén shēng cáo zá,,描写人的成语 Idioms describing people,人多
人如潮涌,rén rú cháo yǒng,,描写人的成语 Idioms describing people,人多
摩肩接踵,mó jiān jiē zhǒng,lit. rubbing shoulders and following in each other's footsteps/a thronging crowd,描写人的成语 Idioms describing people,人多
暗室不欺,àn shì bù qī,,描写人的成语 Idioms describing people,高尚
不同流俗,bù tóng liú sú,,描写人的成语 Idioms describing people,高尚
不欺暗室,bù qī àn shì,,描写人的成语 Idioms describing people,高尚
不忘沟壑,bù wàng gōu hè,,描写人的成语 Idioms describing people,高尚
赤子之心,chì zi zhī xīn,pure and innocent like the heart of a newborn/sincere,描写人的成语 Idioms describing people,高尚
德厚流光,dé hòu liú guāng,,描写人的成语 Idioms describing people,高尚
高情远致,gāo qíng yuǎn zhì,,描写人的成语 Idioms describing people,高尚
高山景行,gāo shān jǐng xíng,,描写人的成语 Idioms describing people,高尚
功德无量,gōng dé wú liàng,no end of virtuous achievements (idiom); boundless beneficence,描写人的成语 Idioms describing people,高尚
厚德载物,hòu dé zài wù,with great virtue one can take charge of the world (idiom),描写人的成语 Idioms describing people,高尚
蕙心纨质,huì xīn wán zhì,,描写人的成语 Idioms describing people,高尚
见危授命,jiàn wēi shòu mìng,,描写人的成语 Idioms describing people,高尚
精金良玉,jīng jīn liáng yù,,描写人的成语 Idioms describing people,高尚
敬老慈幼,jìng lǎo cí yòu,,描写人的成语 Idioms describing people,高尚
良金美玉,liáng jīn měi yù,,描写人的成语 Idioms describing people,高尚
明德惟馨,míng dé wéi xīn,,描写人的成语 Idioms describing people,高尚
年高德劭,nián gāo dé shào,to be advanced in both years and virtue (idiom),描写人的成语 Idioms describing people,高尚
前人栽树，后人乘凉,qián rén zāi shù ， hòu rén chéng liáng,to enjoy the benefits of the hard work of one's predecessors. (idiom),描写人的成语 Idioms describing people,高尚
青天白日,qīng tiān bái rì,"(idiom) in broad daylight; in the middle of the day/KMT emblem, a white sun on a blue background",描写人的成语 Idioms describing people,高尚
山高水长,shān gāo shuǐ cháng,high as the mountain and long as the river (idiom); fig. noble and far-reaching,描写人的成语 Idioms describing people,高尚
拾金不昧,shí jīn bù mèi,to pick up money and not hide it (idiom); to return property to its owner,描写人的成语 Idioms describing people,高尚
玉洁松贞,yù jié sōng zhēn,,描写人的成语 Idioms describing people,高尚
云中白鹤,yún zhōng bái hè,,描写人的成语 Idioms describing people,高尚
志士仁人,zhì shì rén rén,gentleman aspiring to benevolence (idiom); people with lofty ideals,描写人的成语 Idioms describing people,高尚
鞠躬尽瘁，死而后已,jū gōng jìn cuì ， sǐ ér hòu yǐ,"to bend to a task and spare no effort unto one's dying day (idiom); striving to the utmost one's whole life/with every breath in one's body, unto one's dying day",描写人的成语 Idioms describing people,高尚
不虞之誉,bù yú zhī yù,,描写人的成语 Idioms describing people,尊贵
不言而信,bù yán ér xìn,,描写人的成语 Idioms describing people,尊贵
不恶而严,bù è ér yán,,描写人的成语 Idioms describing people,尊贵
荣华富贵,róng huá fù guì,"glory, splendor, wealth and rank (idiom); high position and great wealth",描写人的成语 Idioms describing people,尊贵
山中宰相师道尊严,shān zhōng zǎi xiàng shī dào zūn yán,,描写人的成语 Idioms describing people,尊贵
一身正气,yī shēn zhèng qì,,描写人的成语 Idioms describing people,正气
无所畏惧,wú suǒ wèi jù,,描写人的成语 Idioms describing people,正气
气冲牛斗,qì chōng niú dǒu,extremely angry/infuriated,描写人的成语 Idioms describing people,正气
气冲霄汉,qì chōng xiāo hàn,(idiom) dauntless/courageous/spirited,描写人的成语 Idioms describing people,正气
襟怀坦白,jīn huái tǎn bái,open and candid (idiom); not hiding anything/ingenuous/openhearted/unselfish/magnanimous/broad-minded,描写人的成语 Idioms describing people,正气
气壮山河,qì zhuàng shān hé,magnificent/inspiring,描写人的成语 Idioms describing people,正气
气宇轩昂,qì yǔ xuān áng,to have an imposing or impressive appearance/impressive appearance/straight and impressive looking,描写人的成语 Idioms describing people,正气
气吞山河,qì tūn shān hé,,描写人的成语 Idioms describing people,正气
正气凛然,zhèng qì lǐn rán,,描写人的成语 Idioms describing people,正气
龙骧虎步,lóng xiāng hǔ bù,,描写人的成语 Idioms describing people,正气
百战百胜冲锋陷阵,bǎi zhàn bǎi shèng chōng fēng xiàn zhèn,,描写人的成语 Idioms describing people,正气
英姿焕发,yīng zī huàn fā,,描写人的成语 Idioms describing people,正气
奋不顾身,fèn bù gù shēn,to dash on bravely with no thought of personal safety (idiom); undaunted by dangers/regardless of perils,描写人的成语 Idioms describing people,正气
奋勇当先,fèn yǒng dāng xiān,,描写人的成语 Idioms describing people,正气
顶天立地,dǐng tiān lì dì,lit. able to support both heaven and earth/of indomitable spirit (idiom),描写人的成语 Idioms describing people,正气
昂首挺胸,áng shǒu tǐng xiōng,"head high, chest out (idiom); to keep up one's spirits/in fine mettle (of animal)",描写人的成语 Idioms describing people,正气
昂首阔步,áng shǒu kuò bù,striding forward with head high (idiom); to walk with spirited and vigorous step/to strut,描写人的成语 Idioms describing people,正气
赴汤蹈火,fù tāng dǎo huǒ,lit. to jump into scalding water and plunge into raging fire (idiom)/fig. to brave any danger/to go to any lengths (for a noble cause),描写人的成语 Idioms describing people,正气
挺身而出,tǐng shēn ér chū,to step forward bravely,描写人的成语 Idioms describing people,正气
战无不胜,zhàn wú bù shèng,(idiom) all-conquering; invincible,描写人的成语 Idioms describing people,正气
临危不惧,lín wēi bù jù,,描写人的成语 Idioms describing people,正气
威震天下,wēi zhèn tiān xià,to inspire awe throughout the empire (idiom),描写人的成语 Idioms describing people,正气
面不改色,miàn bù gǎi sè,,描写人的成语 Idioms describing people,正气
勇冠三军,yǒng guàn sān jūn,,描写人的成语 Idioms describing people,正气
骁勇善战,xiāo yǒng shàn zhàn,to be brave and good at fighting (idiom),描写人的成语 Idioms describing people,正气
镇定自若,zhèn dìng zì ruò,,描写人的成语 Idioms describing people,正气
慷慨就义,kāng kǎi jiù yì,,描写人的成语 Idioms describing people,正气
大智大勇,dà zhì dà yǒng,,描写人的成语 Idioms describing people,正气
仰不愧天,yǎng bù kuì tiān,,描写人的成语 Idioms describing people,正气
一视同仁,yī shì tóng rén,to treat everyone equally favorably (idiom); not to discriminate between people,描写人的成语 Idioms describing people,正气
一清二白,yī qīng èr bái,perfectly clean/blameless/unimpeachable (idiom),描写人的成语 Idioms describing people,正气
大义灭亲,dà yì miè qīn,to place righteousness before family (idiom); ready to punish one's own family if justice demands it,描写人的成语 Idioms describing people,正气
大公无私,dà gōng wú sī,selfless/impartial,描写人的成语 Idioms describing people,正气
义无反顾,yì wú fǎn gù,honor does not allow one to glance back (idiom); duty-bound not to turn back/no surrender/to pursue justice with no second thoughts,描写人的成语 Idioms describing people,正气
堂堂正正,táng táng zhèng zhèng,displaying strength and discipline/impressive/upright and frank/square,描写人的成语 Idioms describing people,正气
深明大义,shēn míng dà yì,to have a high notion of one's duty/to be highly principled,描写人的成语 Idioms describing people,正气
童叟无欺,tóng sǒu wú qī,cheating neither old nor young (idiom); treating youngsters and old folk equally scrupulously/Our house offers sincere treatment to all and fair trade to old and young alike.,描写人的成语 Idioms describing people,正气
谦虚谨慎,qiān xū jǐn shèn,,描写人的成语 Idioms describing people,正气
廉洁奉公,lián jié fèng gōng,,描写人的成语 Idioms describing people,正气
毅然决然,yì rán jué rán,without hesitation/resolutely/firmly,描写人的成语 Idioms describing people,正气
正直无私,zhèng zhí wú sī,,描写人的成语 Idioms describing people,正气
执法如山,zhí fǎ rú shān,to maintain the law as firm as a mountain (idiom); to enforce the law strictly,描写人的成语 Idioms describing people,正气
刚正不阿,gāng zhèng bù ē,upright and plainspoken,描写人的成语 Idioms describing people,正气
冰清玉洁,bīng qīng yù jié,clear as ice and clean as jade (idiom); spotless/irreproachable/incorruptible,描写人的成语 Idioms describing people,正气
克己奉公,kè jǐ fèng gōng,self-restraint and devotion to public duties (idiom); selfless dedication/to serve the public interest wholeheartedly,描写人的成语 Idioms describing people,正气
严于律己,yán yú lǜ jǐ,to be strict with oneself,描写人的成语 Idioms describing people,正气
两袖清风,liǎng xiù qīng fēng,lit. both sleeves flowing in the breeze (idiom); having clean hands/uncorrupted/unsoiled by corrupt practices,描写人的成语 Idioms describing people,正气
忍辱负重,rěn rǔ fù zhòng,to endure humiliation as part of an important mission (idiom); to suffer in silence,描写人的成语 Idioms describing people,正气
奉公守法,fèng gōng shǒu fǎ,to carry out official duties and observe the law,描写人的成语 Idioms describing people,正气
表里如一,biǎo lǐ rú yī,external appearance and inner thoughts coincide (idiom); to say what one means/to think and act as one,描写人的成语 Idioms describing people,正气
斩钉截铁,zhǎn dīng jié tiě,lit. to chop the nail and slice the iron (idiom)/fig. resolute and decisive; unhesitating; categorical,描写人的成语 Idioms describing people,正气
头角峥嵘,tóu jiǎo zhēng róng,promise of brilliant young person (idiom); showing extraordinary gifts,描写人的成语 Idioms describing people,正气
忠心耿耿,zhōng xīn gěng gěng,loyal and devoted (idiom); faithful and true,描写人的成语 Idioms describing people,正气
忠贞不渝,zhōng zhēn bù yú,unswerving in one's loyalty (idiom); faithful and constant,描写人的成语 Idioms describing people,正气
贫贱不移,pín jiàn bù yí,,描写人的成语 Idioms describing people,正气
高风亮节,gāo fēng liàng jié,of noble character and unquestionable integrity (idiom),描写人的成语 Idioms describing people,正气
涓滴归公,juān dī guī gōng,every drop returns to the public good (idiom); not one penny is misused,描写人的成语 Idioms describing people,正气
虚怀若谷,xū huái ruò gǔ,receptive as an echoing canyon (idiom); modest and open-minded,描写人的成语 Idioms describing people,正气
豁达大度,huò dá dà dù,,描写人的成语 Idioms describing people,正气
鞠躬尽瘁，死而后已一代风流,jū gōng jìn cuì ， sǐ ér hòu yǐ yī dài fēng liú,,描写人的成语 Idioms describing people,正气
一世龙门,yī shì lóng mén,,描写人的成语 Idioms describing people,正气
庸中佼佼,yōng zhōng jiǎo jiǎo,,描写人的成语 Idioms describing people,正气
目不邪视,mù bù xié shì,,描写人的成语 Idioms describing people,正气
正义凛然,zhèng yì lǐn rán,,描写人的成语 Idioms describing people,正气
海阔天空,hǎi kuò tiān kōng,wide sea and sky (idiom); boundless open vistas/the whole wide world/chatting about everything under the sun,描写人的成语 Idioms describing people,宽容
含垢纳污,hán gòu nà wū,,描写人的成语 Idioms describing people,宽容
呼牛呼马,hū niú hū mǎ,"to call sth a cow or a horse (idiom); it doesn't matter what you call it/Insult me if you want, I don't care what you call me.",描写人的成语 Idioms describing people,宽容
豁达大度,huò dá dà dù,,描写人的成语 Idioms describing people,宽容
既往不咎,jì wǎng bù jiù,to forget and not bear recriminations (idiom); to let bygones be bygones/There is no point in crying over spilt milk.,描写人的成语 Idioms describing people,宽容
宽大为怀,kuān dà wéi huái,magnanimous (idiom)/generous,描写人的成语 Idioms describing people,宽容
宽宏大量,kuān hóng dà liàng,magnanimous (idiom); generous,描写人的成语 Idioms describing people,宽容
网开一面,wǎng kāi yí miàn,open the net on one side (idiom); let the caged bird fly/to give one's opponent a way out/lenient treatment,描写人的成语 Idioms describing people,宽容
息事宁人,xī shì níng rén,to keep the peace; to patch up a quarrel (idiom),描写人的成语 Idioms describing people,宽容
下不为例,xià bù wéi lì,not to be repeated/not to be taken as a precedent/just this once,描写人的成语 Idioms describing people,宽容
以德报怨,yǐ dé bào yuàn,to return good for evil (idiom)/to requite evil with good,描写人的成语 Idioms describing people,宽容
严以律己，宽以待人,yán yǐ lǜ jǐ ， kuān yǐ dài rén,,描写人的成语 Idioms describing people,宽容
知情达理,zhī qíng dá lǐ,see 通情達理|通情达理[tong1 qing2 da2 li3],描写人的成语 Idioms describing people,宽容
草木知威,cǎo mù zhī wēi,,描写人的成语 Idioms describing people,着名
驰名中外,chí míng zhōng wài,,描写人的成语 Idioms describing people,着名
大名鼎鼎,dà míng dǐng dǐng,grand reputation/renowned/famous,描写人的成语 Idioms describing people,着名
德高望重,dé gāo wàng zhòng,(idiom) a person of virtue and prestige; a person of good moral standing and reputation,描写人的成语 Idioms describing people,着名
风云人物,fēng yún rén wù,the man (or woman) of the moment (idiom)/influential figure,描写人的成语 Idioms describing people,着名
功成名遂,gōng chéng míng suì,,描写人的成语 Idioms describing people,着名
功标青史,gōng biāo qīng shǐ,,描写人的成语 Idioms describing people,着名
赫赫有名,hè hè yǒu míng,illustrious/prominent/prestigious/well-known,描写人的成语 Idioms describing people,着名
举世闻名,jǔ shì wén míng,world-famous (idiom),描写人的成语 Idioms describing people,着名
如雷贯耳,rú léi guàn ěr,lit. like thunder piercing the ear/a well-known reputation (idiom),描写人的成语 Idioms describing people,着名
声振寰宇,shēng zhèn huán yǔ,,描写人的成语 Idioms describing people,着名
威望素着,wēi wàng sù zhe,,描写人的成语 Idioms describing people,着名
风流人物,fēng liú rén wù,,描写人的成语 Idioms describing people,.杰出
风华正茂,fēng huá zhèng mào,in one's prime,描写人的成语 Idioms describing people,.杰出
伏龙凤雏,fú lóng fèng chú,hidden genius (idiom),描写人的成语 Idioms describing people,.杰出
盖世英雄,gài shì yīng xióng,,描写人的成语 Idioms describing people,.杰出
盖世无双,gài shì wú shuāng,,描写人的成语 Idioms describing people,.杰出
鹤立鸡群,hè lì jī qún,a crane in a flock of chicken (idiom); way above the common/manifestly superior,描写人的成语 Idioms describing people,.杰出
鹤鸣之士,hè míng zhī shì,,描写人的成语 Idioms describing people,.杰出
金榜题名,jīn bǎng tí míng,to win top marks in the imperial examinations,描写人的成语 Idioms describing people,.杰出
举世无双,jǔ shì wú shuāng,unrivaled (idiom); world number one/unique/unequaled,描写人的成语 Idioms describing people,.杰出
绝世超伦,jué shì chāo lún,,描写人的成语 Idioms describing people,.杰出
昆山片玉,kūn shān piàn yù,,描写人的成语 Idioms describing people,.杰出
人中之龙,rén zhōng zhī lóng,,描写人的成语 Idioms describing people,.杰出
首屈一指,shǒu qū yī zhǐ,to count as number one (idiom); second to none/outstanding,描写人的成语 Idioms describing people,.杰出
铁中铮铮,tiě zhōng zhēng zhēng,,描写人的成语 Idioms describing people,.杰出
将伯之助,qiāng bó zhī zhù,assistance that one gets from another,描写人的成语 Idioms describing people,助人
解衣推食,jiě yī tuī shí,,描写人的成语 Idioms describing people,助人
救死扶伤,jiù sǐ fú shāng,to help the dying and heal the injured,描写人的成语 Idioms describing people,助人
绝甘分少,jué gān fēn shǎo,,描写人的成语 Idioms describing people,助人
普度众生,pǔ dù zhòng shēng,(Buddhism) to deliver all living creatures from suffering (idiom),描写人的成语 Idioms describing people,助人
轻财好施,qīng cái hǎo shī,,描写人的成语 Idioms describing people,助人
设身处地,shè shēn chǔ dì,to put oneself in sb else's shoes,描写人的成语 Idioms describing people,助人
疏财仗义,shū cái zhàng yì,"distributing money, fighting for virtue (idiom); fig. generous in helping the needy",描写人的成语 Idioms describing people,助人
为民请命,wèi mín qǐng mìng,,描写人的成语 Idioms describing people,助人
雪中送炭,xuě zhōng sòng tàn,lit. to send charcoal in snowy weather (idiom)/fig. to provide help in sb's hour of need,描写人的成语 Idioms describing people,助人
与人为善,yǔ rén wéi shàn,to be of service to others/to help others/benevolent,描写人的成语 Idioms describing people,助人
云行雨施,yún xíng yǔ shī,,描写人的成语 Idioms describing people,助人
仗义疏财,zhàng yì shū cái,to help the needy for justice (idiom); to be loyal to one's friends and generous to the needy,描写人的成语 Idioms describing people,助人
助人为乐,zhù rén wéi lè,pleasure from helping others (idiom),描写人的成语 Idioms describing people,助人
生荣死哀,shēng róng sǐ āi,to be respected in life and lamented in death (idiom),描写人的成语 Idioms describing people,荣耀
死得其所,sǐ dé qí suǒ,,描写人的成语 Idioms describing people,荣耀
万古千秋,wàn gǔ qiān qiū,for all eternity (idiom),描写人的成语 Idioms describing people,荣耀
万古流芳,wàn gǔ liú fāng,,描写人的成语 Idioms describing people,荣耀
为国捐躯,wèi guó juān qū,,描写人的成语 Idioms describing people,荣耀
乘风破浪,chéng fēng pò làng,to brave the wind and the billows (idiom); to have high ambitions,描写人的成语 Idioms describing people,有志气
顶天立地,dǐng tiān lì dì,lit. able to support both heaven and earth/of indomitable spirit (idiom),描写人的成语 Idioms describing people,有志气
鸿鹄之志,hóng gǔ zhī zhì,,描写人的成语 Idioms describing people,有志气
九天揽月,jiǔ tiān lǎn yuè,to reach for the stars (idiom),描写人的成语 Idioms describing people,有志气
夸父追日,kuā fù zhuī rì,,描写人的成语 Idioms describing people,有志气
老骤伏枥,lǎo zhòu fú lì,,描写人的成语 Idioms describing people,有志气
老当益壮,lǎo dāng yì zhuàng,old but vigorous (idiom); hale and hearty despite the years,描写人的成语 Idioms describing people,有志气
力争上游,lì zhēng shàng yóu,to strive for mastery (idiom); aiming for the best result/to have high ambitions,描写人的成语 Idioms describing people,有志气
陵云之志,líng yún zhī zhì,,描写人的成语 Idioms describing people,有志气
猛志常在,měng zhì cháng zài,,描写人的成语 Idioms describing people,有志气
磨杵成针,mó chǔ chéng zhēn,to grind an iron bar down to a fine needle (idiom); fig. to persevere in a difficult task/to study diligently,描写人的成语 Idioms describing people,有志气
十载寒窗,shí zǎi hán chuāng,,描写人的成语 Idioms describing people,有志气
铁杵成针,tiě chǔ chéng zhēn,see 磨杵成針|磨杵成针[mo2 chu3 cheng2 zhen1],描写人的成语 Idioms describing people,有志气
心小志大,xīn xiǎo zhì dà,,描写人的成语 Idioms describing people,有志气
胸怀大志,xiōng huái dà zhì,,描写人的成语 Idioms describing people,有志气
雄心壮志,xióng xīn zhuàng zhì,,描写人的成语 Idioms describing people,有志气
移山倒海,yí shān dǎo hǎi,lit. to move mountains and drain seas/to transform nature,描写人的成语 Idioms describing people,有志气
迎头赶上,yíng tóu gǎn shàng,to try hard to catch up,描写人的成语 Idioms describing people,有志气
愚公移山,yú gōng yí shān,"the old man moves mountains (idiom); fig. where there's a will, there's a way",描写人的成语 Idioms describing people,有志气
争强好胜,zhēng qiáng hào shèng,competitive/ambitious and aggressive/to desire to beat others,描写人的成语 Idioms describing people,有志气
知难而进,zhī nán ér jìn,,描写人的成语 Idioms describing people,有志气
治国安民,zhì guó ān mín,,描写人的成语 Idioms describing people,有志气
志在四方,zhì zài sì fāng,to aspire to travel far and make one's mark (idiom),描写人的成语 Idioms describing people,有志气
中流击楫,zhōng liú jī jí,,描写人的成语 Idioms describing people,有志气
壮志凌云,zhuàng zhì líng yún,,描写人的成语 Idioms describing people,有志气
自力更生,zì lì gēng shēng,regeneration through one's own effort (idiom)/self-reliance,描写人的成语 Idioms describing people,有志气
自强不息,zì qiáng bù xī,to strive unremittingly/self-improvement,描写人的成语 Idioms describing people,有志气
自求多福,zì qiú duō fú,,描写人的成语 Idioms describing people,有志气
自食其力,zì shí qí lì,lit. to eat off one's own strength (idiom)/fig. to stand on one's own feet/to earn one's own living,描写人的成语 Idioms describing people,有志气
有志者事竟成,yǒu zhì zhě shì jìng chéng,"a really determined person will find a solution (idiom); where there's a will, there's a way",描写人的成语 Idioms describing people,有志气
燕雀安知鸿鹄之志,yàn què ān zhī hóng hú zhī zhì,lit. can the sparrow and swallow know the will of the great swan? (idiom)/fig. how can we small fry predict the ambitions of the great?,描写人的成语 Idioms describing people,有志气
大显神通,dà xiǎn shén tōng,to display one's remarkable skill or prowess/to give full play to one's brilliant abilities,描写人的成语 Idioms describing people,有作为
大显身手,dà xiǎn shēn shǒu,(idiom) fully displaying one's capabilities,描写人的成语 Idioms describing people,有作为
大有作为,dà yǒu zuò wéi,to accomplish much/to have good prospects/to have a promising future,描写人的成语 Idioms describing people,有作为
大器晚成,dà qì wǎn chéng,lit. it takes a long time to make a big pot (idiom); fig. a great talent matures slowly/in the fullness of time a major figure will develop into a pillar of the state/Rome wasn't built in a day,描写人的成语 Idioms describing people,有作为
奋发有为,fèn fā yǒu wéi,,描写人的成语 Idioms describing people,有作为
公才公望,gōng cái gōng wàng,,描写人的成语 Idioms describing people,有作为
后生可畏,hòu shēng kě wèi,the young will be redoubtable in the years to come (idiom)/the younger generations will surpass us in time,描写人的成语 Idioms describing people,有作为
龙跃凤鸣,lóng yuè fèng míng,,描写人的成语 Idioms describing people,有作为
鹏程万里,péng chéng wàn lǐ,the fabled roc flies ten thousand miles (idiom)/one's future prospects are brilliant,描写人的成语 Idioms describing people,有作为
前程万里,qián chéng wàn lǐ,,描写人的成语 Idioms describing people,有作为
如日方升,rú rì fāng shēng,,描写人的成语 Idioms describing people,有作为
发愤图强,fā fèn tú qiáng,to be strongly determined to succeed (idiom),描写人的成语 Idioms describing people,奋发
奋发图强,fèn fā tú qiáng,to work energetically for prosperity (of the country),描写人的成语 Idioms describing people,奋发
奋发蹈厉,fèn fā dǎo lì,,描写人的成语 Idioms describing people,奋发
披荆斩棘,pī jīng zhǎn jí,lit. to cut one's way through thistles and thorns (idiom)/fig. to overcome all obstacles on the way/to break through hardships/to blaze a new trail,描写人的成语 Idioms describing people,奋发
闻鸡起舞,wén jī qǐ wǔ,to start practicing at the first crow of the cock (idiom)/to be diligent in one's studies,描写人的成语 Idioms describing people,奋发
我武惟扬,wǒ wǔ wéi yáng,,描写人的成语 Idioms describing people,奋发
碧血丹心,bì xuè dān xīn,,描写人的成语 Idioms describing people,忠诚
不避斧钺,bù bì fǔ yuè,not trying to avoid the battle-ax (idiom)/not afraid of dying in combat/not afraid of being executed,描写人的成语 Idioms describing people,忠诚
成仁取义,chéng rén qǔ yì,,描写人的成语 Idioms describing people,忠诚
赤胆忠心,chì dǎn zhōng xīn,lit. red-bellied devotion (idiom); wholehearted loyalty/to serve sb with body and soul,描写人的成语 Idioms describing people,忠诚
赤心相待,chì xīn xiāng dài,,描写人的成语 Idioms describing people,忠诚
赤心报国,chì xīn bào guó,,描写人的成语 Idioms describing people,忠诚
蹈节死义,dǎo jié sǐ yì,,描写人的成语 Idioms describing people,忠诚
肝脑涂地,gān nǎo tú dì,to offer one's life in sacrifice,描写人的成语 Idioms describing people,忠诚
故旧不弃,gù jiù bù qì,do not neglect old friends,描写人的成语 Idioms describing people,忠诚
故剑情深,gù jiàn qíng shēn,,描写人的成语 Idioms describing people,忠诚
寒花晚节,hán huā wǎn jié,,描写人的成语 Idioms describing people,忠诚
扪心无愧,mén xīn wú kuì,"lit. look into one's heart, no shame (idiom); with a clear conscience",描写人的成语 Idioms describing people,忠诚
心虔志诚,xīn qián zhì chéng,,描写人的成语 Idioms describing people,忠诚
以身殉职,yǐ shēn xùn zhí,,描写人的成语 Idioms describing people,忠诚
忠心耿耿,zhōng xīn gěng gěng,loyal and devoted (idiom); faithful and true,描写人的成语 Idioms describing people,忠诚
忠肝义胆,zhōng gān yì dǎn,,描写人的成语 Idioms describing people,忠诚
从容就义,cóng róng jiù yì,,描写人的成语 Idioms describing people,坚定
海枯石烂,hǎi kū shí làn,lit. when the seas run dry and the stones go soft (idiom)/fig. forever/until the end of time,描写人的成语 Idioms describing people,坚定
坚持不渝,jiān chí bù yú,to stick to sth without change (idiom); to persevere,描写人的成语 Idioms describing people,坚定
坚韧不拔,jiān rèn bù bá,firm and indomitable (idiom); tenacious and unyielding,描写人的成语 Idioms describing people,坚定
坚定不移,jiān dìng bù yí,unswerving/unflinching,描写人的成语 Idioms describing people,坚定
雷打不动,léi dǎ bù dòng,not shaken by thunder (idiom); the arrangements are unalterable/to adhere rigidly to regulations/will go ahead whatever happens (of an arrangement or plan),描写人的成语 Idioms describing people,坚定
木人石心,mù rén shí xīn,"lit. body made of wood, heart made of stone (idiom)/fig. heartless",描写人的成语 Idioms describing people,坚定
破釜沉舟,pò fǔ chén zhōu,lit. to break the cauldrons and sink the boats (idiom); fig. to cut off one's means of retreat/to burn one's boats,描写人的成语 Idioms describing people,坚定
锲而不舍,qiè ér bù shě,to chip away at a task and not abandon it (idiom); to chisel away at sth/to persevere/unflagging efforts,描写人的成语 Idioms describing people,坚定
誓死不二,shì sǐ bù èr,,描写人的成语 Idioms describing people,坚定
心坚石穿,xīn jiān shí chuān,,描写人的成语 Idioms describing people,坚定
心如铁石,xīn rú tiě shí,,描写人的成语 Idioms describing people,坚定
之死靡它,zhī sǐ mí tā,,描写人的成语 Idioms describing people,坚定
指天誓日,zhǐ tiān shì rì,,描写人的成语 Idioms describing people,坚定
志坚行苦,zhì jiān xíng kǔ,,描写人的成语 Idioms describing people,坚定
